ID, DetectorType, Layer, SubLayer, PositionX, PositionY, PositionZ, AngleX, AngleY, AngleZ
1,  Neut, 1, 1, 1901.8, 0, 0, 0, 0, 0
2,  Neut, 1, 1, 1779.4, 0, 0, 0, 0, 0
3,  Neut, 1, 1, 1657, 0, 0, 0, 0, 0
4,  Neut, 1, 1, 1534.6, 0, 0, 0, 0, 0
5,  Neut, 1, 1, 1412.2, 0, 0, 0, 0, 0
6,  Neut, 1, 1, 1289.8, 0, 0, 0, 0, 0
7,  Neut, 1, 1, 1167.4, 0, 0, 0, 0, 0
8,  Neut, 1, 1, 1045, 0, 0, 0, 0, 0
9,  Neut, 1, 1, 922.6, 0, 0, 0, 0, 0
10,  Neut, 1, 1, 800.2, 0, 0, 0, 0, 0
11,  Neut, 1, 1, 677.8, 0, 0, 0, 0, 0
12,  Neut, 1, 1, 555.4, 0, 0, 0, 0, 0
13,  Neut, 1, 1, 433, 0, 0, 0, 0, 0
14,  Neut, 1, 1, 310.6, 0, 0, 0, 0, 0
15,  Neut, 1, 1, 188.2, 0, 0, 0, 0, 0
16,  Neut, 1, 1, 65.8, 0, 0, 0, 0, 0
17,  Neut, 1, 1, -56.6, 0, 0, 0, 0, 0
18,  Neut, 1, 1, -179, 0, 0, 0, 0, 0
19,  Neut, 1, 1, -301.4, 0, 0, 0, 0, 0
20,  Neut, 1, 1, -423.8, 0, 0, 0, 0, 0
21,  Neut, 1, 1, -546.2, 0, 0, 0, 0, 0
22,  Neut, 1, 1, -668.6, 0, 0, 0, 0, 0
23,  Neut, 1, 1, -791, 0, 0, 0, 0, 0
24,  Neut, 1, 1, -913.4, 0, 0, 0, 0, 0
25,  Neut, 1, 1, -1035.8, 0, 0, 0, 0, 0
26,  Neut, 1, 1, -1158.2, 0, 0, 0, 0, 0
27,  Neut, 1, 1, -1280.6, 0, 0, 0, 0, 0
28,  Neut, 1, 1, -1403, 0, 0, 0, 0, 0
29,  Neut, 1, 1, -1525.4, 0, 0, 0, 0, 0
30,  Neut, 1, 1, -1647.8, 0, 0, 0, 0, 0
31,  Neut, 1, 2, 1901.8, 0, 130, 0, 0, 0
32,  Neut, 1, 2, 1779.4, 0, 130, 0, 0, 0
33,  Neut, 1, 2, 1657, 0, 130, 0, 0, 0
34,  Neut, 1, 2, 1534.6, 0, 130, 0, 0, 0
35,  Neut, 1, 2, 1412.2, 0, 130, 0, 0, 0
36,  Neut, 1, 2, 1289.8, 0, 130, 0, 0, 0
37,  Neut, 1, 2, 1167.4, 0, 130, 0, 0, 0
38,  Neut, 1, 2, 1045, 0, 130, 0, 0, 0
39,  Neut, 1, 2, 922.6, 0, 130, 0, 0, 0
40,  Neut, 1, 2, 800.2, 0, 130, 0, 0, 0
41,  Neut, 1, 2, 677.8, 0, 130, 0, 0, 0
42,  Neut, 1, 2, 555.4, 0, 130, 0, 0, 0
43,  Neut, 1, 2, 433, 0, 130, 0, 0, 0
44,  Neut, 1, 2, 310.6, 0, 130, 0, 0, 0
45,  Neut, 1, 2, 188.2, 0, 130, 0, 0, 0
46,  Neut, 1, 2, 65.8, 0, 130, 0, 0, 0
47,  Neut, 1, 2, -56.6, 0, 130, 0, 0, 0
48,  Neut, 1, 2, -179, 0, 130, 0, 0, 0
49,  Neut, 1, 2, -301.4, 0, 130, 0, 0, 0
50,  Neut, 1, 2, -423.8, 0, 130, 0, 0, 0
51,  Neut, 1, 2, -546.2, 0, 130, 0, 0, 0
52,  Neut, 1, 2, -668.6, 0, 130, 0, 0, 0
53,  Neut, 1, 2, -791, 0, 130, 0, 0, 0
54,  Neut, 1, 2, -913.4, 0, 130, 0, 0, 0
55,  Neut, 1, 2, -1035.8, 0, 130, 0, 0, 0
56,  Neut, 1, 2, -1158.2, 0, 130, 0, 0, 0
57,  Neut, 1, 2, -1280.6, 0, 130, 0, 0, 0
58,  Neut, 1, 2, -1403, 0, 130, 0, 0, 0
59,  Neut, 1, 2, -1525.4, 0, 130, 0, 0, 0
60,  Neut, 1, 2, -1647.8, 0, 130, 0, 0, 0
61,  Neut, 2, 1, 1901.8, 0, 846, 0, 0, 0
62,  Neut, 2, 1, 1779.4, 0, 846, 0, 0, 0
63,  Neut, 2, 1, 1657, 0, 846, 0, 0, 0
64,  Neut, 2, 1, 1534.6, 0, 846, 0, 0, 0
65,  Neut, 2, 1, 1412.2, 0, 846, 0, 0, 0
66,  Neut, 2, 1, 1289.8, 0, 846, 0, 0, 0
67,  Neut, 2, 1, 1167.4, 0, 846, 0, 0, 0
68,  Neut, 2, 1, 1045, 0, 846, 0, 0, 0
69,  Neut, 2, 1, 922.6, 0, 846, 0, 0, 0
70,  Neut, 2, 1, 800.2, 0, 846, 0, 0, 0
71,  Neut, 2, 1, 677.8, 0, 846, 0, 0, 0
72,  Neut, 2, 1, 555.4, 0, 846, 0, 0, 0
73,  Neut, 2, 1, 433, 0, 846, 0, 0, 0
74,  Neut, 2, 1, 310.6, 0, 846, 0, 0, 0
75,  Neut, 2, 1, 188.2, 0, 846, 0, 0, 0
76,  Neut, 2, 1, 65.8, 0, 846, 0, 0, 0
77,  Neut, 2, 1, -56.6, 0, 846, 0, 0, 0
78,  Neut, 2, 1, -179, 0, 846, 0, 0, 0
79,  Neut, 2, 1, -301.4, 0, 846, 0, 0, 0
80,  Neut, 2, 1, -423.8, 0, 846, 0, 0, 0
81,  Neut, 2, 1, -546.2, 0, 846, 0, 0, 0
82,  Neut, 2, 1, -668.6, 0, 846, 0, 0, 0
83,  Neut, 2, 1, -791, 0, 846, 0, 0, 0
84,  Neut, 2, 1, -913.4, 0, 846, 0, 0, 0
85,  Neut, 2, 1, -1035.8, 0, 846, 0, 0, 0
86,  Neut, 2, 1, -1158.2, 0, 846, 0, 0, 0
87,  Neut, 2, 1, -1280.6, 0, 846, 0, 0, 0
88,  Neut, 2, 1, -1403, 0, 846, 0, 0, 0
89,  Neut, 2, 1, -1525.4, 0, 846, 0, 0, 0
90,  Neut, 2, 1, -1647.8, 0, 846, 0, 0, 0
91,  Neut, 2, 2, 1901.8, 0, 976, 0, 0, 0
92,  Neut, 2, 2, 1779.4, 0, 976, 0, 0, 0
93,  Neut, 2, 2, 1657, 0, 976, 0, 0, 0
94,  Neut, 2, 2, 1534.6, 0, 976, 0, 0, 0
95,  Neut, 2, 2, 1412.2, 0, 976, 0, 0, 0
96,  Neut, 2, 2, 1289.8, 0, 976, 0, 0, 0
97,  Neut, 2, 2, 1167.4, 0, 976, 0, 0, 0
98,  Neut, 2, 2, 1045, 0, 976, 0, 0, 0
99,  Neut, 2, 2, 922.6, 0, 976, 0, 0, 0
100,  Neut, 2, 2, 800.2, 0, 976, 0, 0, 0
101,  Neut, 2, 2, 677.8, 0, 976, 0, 0, 0
102,  Neut, 2, 2, 555.4, 0, 976, 0, 0, 0
103,  Neut, 2, 2, 433, 0, 976, 0, 0, 0
104,  Neut, 2, 2, 310.6, 0, 976, 0, 0, 0
105,  Neut, 2, 2, 188.2, 0, 976, 0, 0, 0
106,  Neut, 2, 2, 65.8, 0, 976, 0, 0, 0
107,  Neut, 2, 2, -56.6, 0, 976, 0, 0, 0
108,  Neut, 2, 2, -179, 0, 976, 0, 0, 0
109,  Neut, 2, 2, -301.4, 0, 976, 0, 0, 0
110,  Neut, 2, 2, -423.8, 0, 976, 0, 0, 0
111,  Neut, 2, 2, -546.2, 0, 976, 0, 0, 0
112,  Neut, 2, 2, -668.6, 0, 976, 0, 0, 0
113,  Neut, 2, 2, -791, 0, 976, 0, 0, 0
114,  Neut, 2, 2, -913.4, 0, 976, 0, 0, 0
115,  Neut, 2, 2, -1035.8, 0, 976, 0, 0, 0
116,  Neut, 2, 2, -1158.2, 0, 976, 0, 0, 0
117,  Neut, 2, 2, -1280.6, 0, 976, 0, 0, 0
118,  Neut, 2, 2, -1403, 0, 976, 0, 0, 0
119,  Neut, 2, 2, -1525.4, 0, 976, 0, 0, 0
120,  Neut, 2, 2, -1647.8, 0, 976, 0, 0, 0
121,  Veto, 1, 0, 1832, 0, -275, 0, 0, 0
122,  Veto, 1, 0, 1522, 0, -260, 0, 0, 0
123,  Veto, 1, 0, 1212, 0, -275, 0, 0, 0
124,  Veto, 1, 0, 902, 0, -260, 0, 0, 0
125,  Veto, 1, 0, 592, 0, -275, 0, 0, 0
126,  Veto, 1, 0, 282, 0, -260, 0, 0, 0
127,  Veto, 1, 0, -28, 0, -275, 0, 0, 0
128,  Veto, 1, 0, -338, 0, -260, 0, 0, 0
129,  Veto, 1, 0, -648, 0, -275, 0, 0, 0
130,  Veto, 1, 0, -958, 0, -260, 0, 0, 0
131,  Veto, 1, 0, -1268, 0, -275, 0, 0, 0
132,  Veto, 1, 0, -1578, 0, -260, 0, 0, 0
133,  Veto, 2, 0, 1832, 0, 571, 0, 0, 0
134,  Veto, 2, 0, 1522, 0, 586, 0, 0, 0
135,  Veto, 2, 0, 1212, 0, 571, 0, 0, 0
136,  Veto, 2, 0, 902, 0, 586, 0, 0, 0
137,  Veto, 2, 0, 592, 0, 571, 0, 0, 0
138,  Veto, 2, 0, 282, 0, 586, 0, 0, 0
139,  Veto, 2, 0, -28, 0, 571, 0, 0, 0
140,  Veto, 2, 0, -338, 0, 586, 0, 0, 0
141,  Veto, 2, 0, -648, 0, 571, 0, 0, 0
142,  Veto, 2, 0, -958, 0, 586, 0, 0, 0
143,  Veto, 2, 0, -1268, 0, 571, 0, 0, 0
144,  Veto, 2, 0, -1578, 0, 586, 0, 0, !0
